date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:14	50103/50103	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2014:33:50%20GMT	https://demo.gridgum.com/templates/Travel-agency/index.html	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/index.html	(from )
18:14:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Aug%202020%2011:14:15%20GMT	https://demo.gridgum.com/robots.txt		(from )
18:14:15	25197/25197	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2023:58:42%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/font-awesome.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/font-awesome.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:16	132546/132546	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2023:58:40%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/bootstrap.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/bootstrap.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:16	17483/17483	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2023:58:44%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/select2.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/select2.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:17	72922/72922	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2023:58:38%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/animate.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/animate.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:17	31862/31862	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202017%2023:59:02%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/smoothness/jquery-ui-1.10.0.custom.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/smoothness/jquery-ui-1.10.0.custom.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:17	73390/73390	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Nov%202017%2003:13:02%20GMT	https://demo.gridgum.com/templates/Travel-agency/css/style.css	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/css/style.css	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:18	93107/93107	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:26%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:18	7199/7199	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:14%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery-migrate-1.2.1.min.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery-migrate-1.2.1.min.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:18	470721/470721	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:16%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery-ui.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery-ui.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:18	8097/8097	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:22%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.easing.1.3.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.easing.1.3.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:19	3789/3789	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:34%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/superfish.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/superfish.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:19	137467/137467	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:32%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/select2.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/select2.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:19	1785/1785	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:28%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.parallax-1.1.3.resize.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.parallax-1.1.3.resize.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:20	11741/11741	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:34%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/SmoothScroll.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/SmoothScroll.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:20	1478/1478	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:18%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.appear.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.appear.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:20	4313/4313	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:28%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.touchSwipe.min.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.touchSwipe.min.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:21	91090/91090	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:20%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.caroufredsel.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.caroufredsel.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:21	2061/2061	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2007:11:30%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/jquery.ui.totop.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/jquery.ui.totop.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:21	11976/11976	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Nov%202017%2004:42:44%20GMT	https://demo.gridgum.com/templates/Travel-agency/js/script.js	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/js/script.js	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:21	10024/10024	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2019:03:32%20GMT	https://demo.gridgum.com/templates/Travel-agency/images/logo.png	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/images/logo.png	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:22	48748/48748	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2014:33:50%20GMT	https://demo.gridgum.com/templates/Travel-agency/index-2.html	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/index-2.html	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:22	47849/47849	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2014:33:50%20GMT	https://demo.gridgum.com/templates/Travel-agency/index-1.html	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/index-1.html	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
18:14:22	22671/22671	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2014:33:50%20GMT	https://demo.gridgum.com/templates/Travel-agency/about.html	F:/Project/LIPDUB/demo.gridgum.com/templates/Travel-agency/about.html	(from https://demo.gridgum.com/templates/Travel-agency/index.html)
